Count,Time,Datum,Hostname,Platform,Encoding,Resultaat,Processen,Services,CPU Usage,RAM %,RAM Geheugen Vrij,RAM gebeugen Usage,RAM totaal,IP,HDD ruimte,System Uptime
,21:54:55,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",21.8,32.3,10.798786163330078,5.146854400634766,15.945316314697266,192.168.2.16,60.7642936706543,226.69460916666668
2,21:55:14,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",19.8,32.2,10.815711975097656,5.1291656494140625,15.945316314697266,192.168.2.16,60.76415252685547,226.69982194444447
3,21:56:27,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",14.6,32.1,10.826587677001953,5.118553161621094,15.945316314697266,192.168.2.16,60.764259338378906,226.7200302777778
4,21:57:47,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",17.2,32.2,10.813827514648438,5.131378173828125,15.945316314697266,192.168.2.16,60.76390838623047,226.74235666666667
5,22:06:29,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",16.5,32.4,10.78814697265625,5.156955718994141,15.945316314697266,192.168.2.16,60.770606994628906,226.8874
6,22:09:41,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",17.5,32.9,10.696571350097656,5.2486114501953125,15.945316314697266,192.168.2.16,60.76790237426758,226.94069444444446
7,22:10:06,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",18.7,32.8,10.713520050048828,5.231636047363281,15.945316314697266,192.168.2.16,60.76784133911133,226.94765166666667
8,22:11:11,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",16.6,32.8,10.710990905761719,5.234214782714844,15.945316314697266,192.168.2.16,60.76776885986328,226.96565972222223
9,22:11:24,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",18.1,32.9,10.708526611328125,5.2364959716796875,15.945316314697266,192.168.2.16,60.76776123046875,226.96923166666667
10,22:11:27,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",24.4,32.9,10.704723358154297,5.2405853271484375,15.945316314697266,192.168.2.16,60.76788330078125,226.96993472222223
11,22:12:40,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",16.9,32.9,10.698616027832031,5.246284484863281,15.945316314697266,192.168.2.16,60.76774597167969,226.99019944444444
12,22:13:47,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",17.2,32.9,10.704353332519531,5.240474700927734,15.945316314697266,192.168.2.16,60.76737594604492,227.00890611111112
13,22:14:37,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",17.2,32.9,10.70132827758789,5.2437744140625,15.945316314697266,192.168.2.16,60.767425537109375,227.0228472222222
14,22:18:49,2016-01-09,DESKTOP-Ward,win32,ascii,8888,,"227
",23.6,32.6,10.746589660644531,5.198574066162109,15.945316314697266,192.168.2.16,60.766788482666016,227.0928861111111
15,09:50:20,2016-01-10,DESKTOP-Ward,win32,ascii,8888,,"227
",16.4,29.0,11.320426940917969,4.6245269775390625,15.945316314697266,192.168.2.16,60.7133674621582,238.61814666666666
16,10:10:28,2016-01-10,DESKTOP-Ward,win32,ascii,8888,,"227
",13.9,32.3,10.802642822265625,5.142536163330078,15.945316314697266,192.168.2.16,60.70323181152344,238.95379749999998
17,10:12:18,2016-01-10,DESKTOP-Ward,win32,ascii,8888,,"227
",13.5,32.5,10.759513854980469,5.1867828369140625,15.945316314697266,192.168.2.16,60.702110290527344,238.9841925
18,10:17:42,2016-01-10,DESKTOP-Ward,win32,ascii,8888,,"227
",19.0,32.8,10.711677551269531,5.233638763427734,15.945316314697266,192.168.2.16,60.699974060058594,239.074275
19,10:19:05,2016-01-10,DESKTOP-Ward,win32,ascii,8888,,"227
",18.9,34.5,10.452075958251953,5.4932403564453125,15.945316314697266,192.168.2.16,60.69763946533203,239.09732194444447
20,10:20:12,2016-01-10,DESKTOP-Ward,win32,ascii,8888,,"227
",20.2,34.4,10.462425231933594,5.483211517333984,15.945316314697266,192.168.2.16,60.6973876953125,239.11591555555555
